OTAIHANGA ROAD,16
RUAPEHU ST,15
POWNALL ST,15
SH 2 CHAPEL ST,15
SOUTH ROAD,15
CHURCH ST,15
HATAITAI ROAD,15
TODMAN ST,15
CENTENNIAL SBD,15
BIDWILL ST,15
MURPHY ST,15
GUILDFORD DRIVE,15
KOKOTAU ROAD,15
PARK ST,15
BRANDON ST,14
WILLESTON ST,14
REYNOLDS ST,14
TE PENE AVENUE,14
AOTAKI ST,14
PAPAKOWHAI ROAD,14
CHESTER ROAD,14
NORMANDALE ROAD,14
WHAKATIKI ST,14
POPLAR AVENUE,14
ROSETTA ROAD,14
PINE AVENUE,14
SH 1N VIVIAN,14
MANLY ST,14
OWEN ST,14
STRATHMORE AVENUE,13
CAPE PALLISER ROAD,13
OPAKI-KAIPARORO ROAD,13
GEMSTONE DRIVE,13
AWARUA ST,13
KENMORE ST,13
KHANDALLAH ROAD,13
CARTERTON GLADSTONE ROAD,13
HAMPSHIRE ST,13
FRASER AVENUE,13
NORFOLK ROAD,13
MOUNT ALBERT ROAD,13
RATANUI ROAD,13
CORTINA AVENUE,13
SH 2 RIVER,13
HINEMOA ST,13
WHITEMANS ROAD,13
FOX ST,13
WAITOA ROAD,13
SUTHERLAND ROAD,13
CONNOLLY ST,13
MACLEAN ST,13
TOTARA ST,13
RUSSELL ST,13
SH 1N COBHAM DRIVE,13
HOROKIWI ROAD WEST,13
FAIRWAY ON RAMP,13
BOX HILL,13
WADESTOWN ROAD,13
RUAHINE ST,13
DOWSE INTERCHANGE,13
MARSDEN ST,13
GRAFTON ROAD,13
RIVERBANK ROAD,13
OTAKI GORGE ROAD,12
CALEDONIA ST,12
HUTT PARK ROAD,12
UPPER PLAIN ROAD,12
COLE ST,12
MANGAROA HILL ROAD,12
WITAKO ST,12
PARK AVENUE,12
TAWA OFF NBD,12
WILTON ROAD,12
TIRANGI ROAD,12
MESSINES AVENUE,12
DEVON ST,12
WARIPORI ST,12
KOWHAI ST,12
POHUTUKAWA ST,12
OCEAN ROAD,12
BLOCK ROAD,12
WALLACEVILLE ROAD,12
BALLANCE ST,12
JELLICOE ST,12
CHILDERS TERRACE,12
HARRIS ST,11
HALSWATER DRIVE,11
GRACEFIELD ON,11
GLOUCESTER ST,11
MCPARLAND ST,11
